"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003797","18/2/19",15:15:00,"Collision with vehicle","Monday","Day",2,2,"Multiple intersection",3,60,"B",2015,"SEDAN","MAZDA","Car","F",45,"40-49","Drivers"
"T20190003799","27/2/19",09:34:00,"Collision with a fixed object","Wednesday","Day",1,1,"Not at intersection",3,80,"A",2017,"WAGON","HONDA","Station Wagon","M",45,"40-49","Drivers"
"T20190003800","26/2/19",15:47:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2003,"SEDAN","TOYOTA","Car","F",78,"70+","Drivers"
"T20190003801","12/2/19",08:30:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,40,"A",2014,"WAGON","VOLKS","Station Wagon","F",37,"30-39","Drivers"
"T20190003802","27/2/19",11:26:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",2,80,"A",2012,"G UNIT","IVECO","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",50,"50-59","Drivers"
"T20190003802","27/2/19",11:26:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",2,80,"B",2016,"WAGON","KIA","Station Wagon","F",56,"50-59","Drivers"
"T20190003803","18/2/19",10:15:00,"Collision with vehicle","Monday","Day",2,3,"Not at intersection",2,60,"A",2013,"SEDAN","MITSUB","Car","F",36,"30-39","Drivers"
"T20190003803","18/2/19",10:15:00,"Collision with vehicle","Monday","Day",2,3,"Not at intersection",2,60,"B",2010,"T SDS","FORD","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",63,"60-64","Drivers"
"T20190003804","27/2/19",12:35:00,"Collision with a fixed object","Wednesday","Day",1,2,"T intersection",3,110,"A",2008,"SEDAN","TOYOTA","Car","F",28,"26-29","Drivers"
"T20190003806","27/2/19",12:00:00,"Collision with vehicle","Wednesday","Day",2,2,"T intersection",3,100,"A",2013,"WAGON","FORD","Station Wagon","M",52,"50-59","Drivers"
"T20190003806","27/2/19",12:00:00,"Collision with vehicle","Wednesday","Day",2,2,"T intersection",3,100,"B",2013,"S WAG","SKODA","Station Wagon","F",70,"70+","Drivers"
"T20190003807","27/2/19",08:25:00,"Collision with vehicle","Wednesday","Day",2,5,"T intersection",2,100,"A",2010,"UTIL","NISSAN","Utility","F",32,"30-39","Drivers"
